downo,daytype,SubSystem,StartStn,EndStation,EntTime,EntTimeHHMM,ExTime,EXTimeHHMM,ZVPPT,JNYTYP,DailyCapping,FFare,DFare,RouteID,FinalProduct
7,Sat,NR,Unstarted,Clapham Junction,0,00:00,1354,22:34,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
5,Thu,LUL,Unstarted,Kings Cross M,0,00:00,503,08:23,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,868,14:28,Z0203,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,St Johns Wood,0,00:00,511,08:31,-------,PPY,N,400,400,XX,PAYG
6,Fri,NR,Unstarted,Upminster,0,00:00,811,13:31,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
7,Sat,LUL,Unstarted,Temple,0,00:00,751,12:31,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
4,Wed,LUL,Unstarted,Clapham Common,0,00:00,435,07:15,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,LUL,Unstarted,Clapham Common,0,00:00,439,07:19,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
7,Sat,NR,Unstarted,Victoria TOCs,0,00:00,870,14:30,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,NR,Unstarted,Clapham Junction,0,00:00,821,13:41,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,NR,Unstarted,Victoria TOCs,0,00:00,653,10:53,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,NR,Unstarted,Watford Junction,0,00:00,500,08:20,Z0110,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Richmond,0,00:00,1102,18:22,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL/NR,Unstarted,Ealing Broadway,0,00:00,1222,20:22,Z0105,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Ilford,0,00:00,1091,18:11,Z0105,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,NR,Unstarted,Watford Junction,0,00:00,498,08:18,Z0210,TKT,N,0,0,XX,LUL Travelcard-7 Day
7,Sat,NR,Unstarted,Norbury,0,00:00,902,15:02,Z0203,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Russell Square,0,00:00,1153,19:13,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
5,Thu,NR,Unstarted,Watford Junction,0,00:00,498,08:18,Z0210,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,NR,Unstarted,Watford Junction,0,00:00,561,09:21,Z0210,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,Blackfriars,0,00:00,1061,17:41,-------,PPY,N,500,500,XX,PAYG
3,Tue,NR,Unstarted,Watford Junction,0,00:00,440,07:20,Z0110,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,NR,Unstarted,Ilford,0,00:00,1116,18:36,Z0304,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,Norwood Junction SR,0,00:00,490,08:10,Z0204,TKT,N,0,0,XX,LUL Travelcard-7 Day
2,Mon,LUL,Unstarted,White City,0,00:00,524,08:44,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,NR,Unstarted,Richmond,0,00:00,767,12:47,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,White City,0,00:00,500,08:20,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,795,13:15,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Richmond,0,00:00,1169,19:29,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Clapham Junction,0,00:00,1157,19:17,Z0204,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,Richmond,0,00:00,1100,18:20,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL/NR/DLR,Unstarted,Stratford,0,00:00,780,13:00,Z0304,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,NR,Unstarted,West Croydon,0,00:00,627,10:27,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
4,Wed,LUL,Unstarted,Liverpool Street,0,00:00,555,09:15,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,NR,Unstarted,Ilford,0,00:00,508,08:28,Z0304,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,LRC,Unstarted,Shepherd's Bush NR,0,00:00,651,10:51,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
6,Fri,LUL,Unstarted,Holborn,0,00:00,533,08:53,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,White City,0,00:00,568,09:28,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Ilford,0,00:00,1015,16:55,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,NR,Unstarted,Clapham Junction,0,00:00,650,10:50,Z0204,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,LUL,Unstarted,Bank,0,00:00,1254,20:54,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
6,Fri,LRC,Unstarted,Imperial Wharf,0,00:00,533,08:53,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,526,08:46,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,NR,Unstarted,Victoria TOCs,0,00:00,1158,19:18,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
1,Sun,NR,Unstarted,Clapham Junction,0,00:00,1034,17:14,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,714,11:54,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
1,Sun,LUL,Unstarted,Heathrow Terms 123,0,00:00,907,15:07,-------,PPY,N,280,280,XX,PAYG
6,Fri,LUL,Unstarted,Bank,0,00:00,1060,17:40,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
6,Fri,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,556,09:16,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,881,14:41,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Wimbledon,0,00:00,553,09:13,Z0203,TKT,N,0,0,XX,LUL Travelcard-Period
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,550,09:10,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
2,Mon,LUL,Unstarted,Fulham Broadway,0,00:00,572,09:32,Z0203,TKT,N,0,0,XX,LUL Travelcard-Period
5,Thu,NR,Unstarted,Wimbledon,0,00:00,566,09:26,Z0203,TKT,N,0,0,XX,LUL Travelcard-Period
7,Sat,LUL,Unstarted,Waterloo JLE,0,00:00,749,12:29,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Bank,0,00:00,1255,20:55,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
4,Wed,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,760,12:40,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
7,Sat,LUL,Unstarted,Bermondsey,0,00:00,1073,17:53,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,LUL,Unstarted,Bank,0,00:00,1166,19:26,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
3,Tue,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,668,11:08,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
7,Sat,NR,Unstarted,Clapham Junction,0,00:00,1229,20:29,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
2,Mon,NR,Unstarted,Wimbledon,0,00:00,515,08:35,Z0203,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,LUL,Unstarted,Leytonstone,0,00:00,835,13:55,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,NR/LRC,Unstarted,West Hampst'd NL,0,00:00,1030,17:10,-------,PPY,N,55,55,XX,PAYG
3,Tue,NR,Unstarted,Wimbledon,0,00:00,545,09:05,Z0203,TKT,N,0,0,XX,LUL Travelcard-Period
4,Wed,LRC,Unstarted,Imperial Wharf,0,00:00,506,08:26,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,Victoria TOCs,0,00:00,1138,18:58,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,Clapham Junction,0,00:00,1153,19:13,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Marble Arch,0,00:00,1151,19:11,-------,PPY,N,0,0,XX,PAYG
4,Wed,LUL/NR/LRC,Unstarted,Kew Gardens,0,00:00,524,08:44,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,LUL,Unstarted,Queensbury,0,00:00,1138,18:58,Z0204,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,Euston NR,0,00:00,1107,18:27,-------,PPY,N,500,500,XX,PAYG
7,Sat,NR,Unstarted,Honor Oak Park,0,00:00,752,12:32,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
3,Tue,LUL/NR/LRC,Unstarted,Kew Gardens,0,00:00,524,08:44,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,Turnpike Lane,0,00:00,1047,17:27,-------,PPY,N,55,55,XX,PAYG
6,Fri,LUL,Unstarted,Willesden Green,0,00:00,1356,22:36,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,NR,Unstarted,Sydenham SR,0,00:00,809,13:29,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL/NR/LRC,Unstarted,Kew Gardens,0,00:00,507,08:27,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Willesden Green,0,00:00,1300,21:40,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Sloane Square,0,00:00,529,08:49,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,Willesden Green,0,00:00,1036,17:16,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,LUL,Unstarted,Willesden Green,0,00:00,1272,21:12,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Turnpike Lane,0,00:00,1111,18:31,-------,PPY,N,55,55,XX,PAYG
3,Tue,LUL,Unstarted,Temple,0,00:00,920,15:20,-------,PPY,N,400,400,XX,PAYG
4,Wed,LUL/NR,Unstarted,Kings Cross T,0,00:00,460,07:40,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
5,Thu,LUL/NR/LRC,Unstarted,Kew Gardens,0,00:00,501,08:21,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Turnham Green,0,00:00,1372,22:52,-------,PPY,N,400,400,XX,PAYG
5,Thu,LUL,Unstarted,Willesden Green,0,00:00,1035,17:15,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Wimbledon,0,00:00,1164,19:24,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,LUL/NR/LRC,Unstarted,Kew Gardens,0,00:00,509,08:29,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,NR,Unstarted,Clapham Junction,0,00:00,1207,20:07,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,1174,19:34,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,NR,Unstarted,Victoria TOCs,0,00:00,685,11:25,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
7,Sat,NR,Unstarted,Wimbledon,0,00:00,845,14:05,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,NR,Unstarted,Wimbledon,0,00:00,1162,19:22,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,NR,Unstarted,Wimbledon,0,00:00,1296,21:36,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Holborn,0,00:00,517,08:37,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,NR,Unstarted,Victoria TOCs,0,00:00,467,07:47,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Sloane Square,0,00:00,535,08:55,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Victoria TOCs,0,00:00,567,09:27,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,NR,Unstarted,Wimbledon,0,00:00,1185,19:45,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,NR,Unstarted,Victoria TOCs,0,00:00,457,07:37,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,NR,Unstarted,Wimbledon,0,00:00,1210,20:10,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Euston,0,00:00,1307,21:47,-------,PPY,N,55,55,XX,PAYG
2,Mon,LUL,Unstarted,Sloane Square,0,00:00,527,08:47,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,Moorgate,0,00:00,483,08:03,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,Westminster,0,00:00,493,08:13,Z0103,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,1164,19:24,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,NR,Unstarted,Ilford,0,00:00,509,08:29,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Wimbledon Park,0,00:00,801,13:21,-------,PPY,N,400,400,XX,PAYG
5,Thu,LUL,Unstarted,Canada Water,0,00:00,960,16:00,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,NR,Unstarted,Ilford,0,00:00,510,08:30,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Mile End,0,00:00,1075,17:55,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Canada Water,0,00:00,962,16:02,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,Canada Water,0,00:00,960,16:00,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Ilford,0,00:00,509,08:29,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Mile End,0,00:00,1052,17:32,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,LUL,Unstarted,Canada Water,0,00:00,961,16:01,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,NR,Unstarted,Ilford,0,00:00,558,09:18,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,LUL,Unstarted,Mile End,0,00:00,1143,19:03,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,NR,Unstarted,Ilford,0,00:00,509,08:29,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Leicester Square,0,00:00,732,12:12,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Leicester Square,0,00:00,587,09:47,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,LUL,Unstarted,Canning Town,0,00:00,963,16:03,Z0103,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Highbury,0,00:00,954,15:54,Z0103,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Canning Town,0,00:00,1067,17:47,Z0103,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,LUL,Unstarted,Holborn,0,00:00,512,08:32,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL,Unstarted,Mile End,0,00:00,1087,18:07,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL/NR,Unstarted,Ealing Broadway,0,00:00,424,07:04,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Earls Court,0,00:00,940,15:40,-------,PPY,N,400,400,XX,PAYG
4,Wed,LUL,Unstarted,North Greenwich,0,00:00,1364,22:44,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Holborn,0,00:00,508,08:28,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,LUL/NR,Unstarted,Ealing Broadway,0,00:00,430,07:10,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,NR,Unstarted,Upminster,0,00:00,1066,17:46,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
5,Thu,NR,Unstarted,Crystal Palace,0,00:00,1192,19:52,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,NR,Unstarted,Crystal Palace,0,00:00,1250,20:50,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL/NR,Unstarted,Ealing Broadway,0,00:00,427,07:07,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Sloane Square,0,00:00,532,08:52,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
3,Tue,NR,Unstarted,Clapham Junction,0,00:00,1098,18:18,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,LUL/LRC,Unstarted,Harrow Wealdstone,0,00:00,796,13:16,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
3,Tue,NR,Unstarted,Euston NR,0,00:00,529,08:49,Z0105,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,NR,Unstarted,Norbury,0,00:00,1070,17:50,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
2,Mon,LUL,Unstarted,Holborn,0,00:00,513,08:33,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Canada Water,0,00:00,956,15:56,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,LUL,Unstarted,Mile End,0,00:00,1024,17:04,Z0204,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Holborn,0,00:00,518,08:38,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL/NR,Unstarted,Ealing Broadway,0,00:00,425,07:05,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Hammersmith D,0,00:00,530,08:50,Z0206,TKT,N,0,0,XX,LUL Travelcard-Annual
2,Mon,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,571,09:31,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
7,Sat,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,834,13:54,Z0107,TKT,N,0,0,XX,LUL Travelcard-Annual
5,Thu,NR,Unstarted,Clapham Junction,0,00:00,1028,17:08,Z0102,TKT,N,0,0,XX,LUL Travelcard-1 Month
1,Sun,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,561,09:21,Z0107,TKT,N,0,0,XX,LUL Travelcard-Annual
6,Fri,LUL,Unstarted,Hammersmith D,0,00:00,536,08:56,Z0206,TKT,N,0,0,XX,LUL Travelcard-Annual
5,Thu,NR,Unstarted,Wimbledon,0,00:00,1263,21:03,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
2,Mon,LUL,Unstarted,London Bridge,0,00:00,1124,18:44,Z0110,TKT,N,0,0,XX,Staff Pass - Staff Nominee
7,Sat,NR,Unstarted,Wimbledon,0,00:00,1047,17:27,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,NR,Unstarted,Ilford,0,00:00,529,08:49,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Hammersmith D,0,00:00,532,08:52,Z0206,TKT,N,0,0,XX,LUL Travelcard-Annual
2,Mon,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,532,08:52,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
2,Mon,LUL,Unstarted,Ruislip Gardens,0,00:00,1278,21:18,-------,PPY,N,400,400,XX,PAYG
5,Thu,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,507,08:27,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,LUL,Unstarted,Southwark,0,00:00,1045,17:25,Z0110,TKT,N,0,0,XX,Staff Pass - Staff Nominee
6,Fri,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,508,08:28,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,LUL,Unstarted,Victoria,0,00:00,828,13:48,-------,PPY,N,55,55,XX,PAYG
7,Sat,LUL,Unstarted,Tottenham Court Rd,0,00:00,1276,21:16,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
5,Thu,NR,Unstarted,Wimbledon,0,00:00,923,15:23,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
7,Sat,LUL,Unstarted,Leicester Square,0,00:00,1088,18:08,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
3,Tue,LUL,Unstarted,Highbury,0,00:00,1150,19:10,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
2,Mon,LUL,Unstarted,Holborn,0,00:00,1122,18:42,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
2,Mon,LUL,Unstarted,Tower Hill,0,00:00,542,09:02,Z0105,TKT,N,0,0,XX,LUL Travelcard-Annual
2,Mon,LUL,Unstarted,Warren Street,0,00:00,694,11:34,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
1,Sun,LUL,Unstarted,Holborn,0,00:00,647,10:47,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
5,Thu,LUL,Unstarted,Aldgate,0,00:00,519,08:39,Z0105,TKT,N,0,0,XX,LUL Travelcard-Annual
7,Sat,LUL,Unstarted,Tooting Broadway,0,00:00,1214,20:14,Z0110,TKT,N,0,0,XX,Staff Pass - Staff Nominee
3,Tue,LUL,Unstarted,Hammersmith D,0,00:00,541,09:01,Z0206,TKT,N,0,0,XX,LUL Travelcard-Annual
3,Tue,LUL,Unstarted,Moorgate,0,00:00,799,13:19,Z0105,TKT,N,0,0,XX,LUL Travelcard-Annual
3,Tue,LUL,Unstarted,Tooting Broadway,0,00:00,1156,19:16,Z0110,TKT,N,0,0,XX,Staff Pass - Staff Nominee
7,Sat,NR,Unstarted,Ilford,0,00:00,538,08:58,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Tower Hill,0,00:00,555,09:15,Z0105,TKT,N,0,0,XX,LUL Travelcard-Annual
6,Fri,NR,Unstarted,Ilford,0,00:00,527,08:47,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Ilford,0,00:00,538,08:58,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Liverpool Street,0,00:00,601,10:01,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
3,Tue,NR,Unstarted,St Pancras International,0,00:00,559,09:19,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
5,Thu,LUL,Unstarted,Bermondsey,0,00:00,550,09:10,Z0203,TKT,N,0,0,XX,LUL Travelcard-1 Month
4,Wed,LUL,Unstarted,Seven Sisters,0,00:00,977,16:17,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
2,Mon,LUL,Unstarted,Liverpool Street,0,00:00,574,09:34,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
2,Mon,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,491,08:11,Z0107,TKT,N,0,0,XX,LUL Travelcard-Annual
4,Wed,NR,Unstarted,St Pancras International,0,00:00,567,09:27,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Bond Street,0,00:00,1147,19:07,Z0103,TKT,N,0,0,XX,LUL Travelcard-1 Month
6,Fri,LUL,Unstarted,Liverpool Street,0,00:00,496,08:16,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
3,Tue,NR,Unstarted,Liverpool St WAGN TOC Gates,0,00:00,959,15:59,Z0110,TKT,N,0,0,XX,Freedom Pass (Disabled)
